banos,cod_barrio,cod_barrio_group,cod_distrito,codigo_postal,comercio_serviciosminoristas,cultura_entretenimiento,dormitorios,hog_con_10,lineas_metro,m2_constr,num_personas,renta_bruta_media_por_persona,salud_bienestar_educacion,servicios_profesionales,target,target_log,tipo_inmueble
3.0,92,4,15,0,2470.0,917.0,4.0,11.0,6.0,210.0,29477.0,38751.0,928.0,2315.0,0.0,-inf,2
1.0,28,0,4,17,423.0,173.0,3.0,123.0,1.0,80.0,28741.0,13354.0,90.0,189.0,0.0,-inf,0
2.0,12,0,2,23,1332.0,455.0,2.0,139.0,3.0,52.0,36798.0,15239.0,298.0,854.0,0.0,-inf,0
2.0,94,3,15,26,2470.0,917.0,2.0,11.0,6.0,70.0,41964.0,38751.0,928.0,2315.0,0.0,-inf,0
2.0,83,2,11,42,1151.0,454.0,3.0,17.0,4.0,103.0,25097.0,27431.0,494.0,969.0,520000.0,13.16158409055761,0
5.0,112,4,18,9,1930.0,905.0,5.0,21.0,9.0,408.0,19418.0,36934.0,1039.0,1910.0,0.0,-inf,2
2.0,29,0,4,35,423.0,173.0,2.0,123.0,1.0,88.0,48720.0,13354.0,90.0,189.0,310000.0,12.644327576461329,0
1.0,46,3,0,12,1208.0,259.0,1.0,43.0,7.0,76.0,8164.0,27030.0,137.0,582.0,530000.0,13.180632285528304,0
2.0,71,1,12,34,1504.0,552.0,3.0,44.0,3.0,96.0,29067.0,19768.0,381.0,828.0,285000.0,12.560244459250788,0
1.0,5,1,1,22,1223.0,523.0,2.0,82.0,3.0,50.0,6122.0,17267.0,366.0,628.0,200000.0,12.206072645530172,0
3.0,30,4,0,3,1208.0,259.0,3.0,43.0,7.0,128.0,18219.0,27030.0,137.0,582.0,1079000.0,13.891545244240271,2
2.0,7,3,0,12,1208.0,259.0,6.0,43.0,7.0,131.0,23501.0,27030.0,137.0,582.0,650000.0,13.38472764187182,0
2.0,7,3,0,12,1208.0,259.0,2.0,43.0,7.0,92.0,23501.0,27030.0,137.0,582.0,650000.0,13.38472764187182,0
2.0,12,0,2,23,1332.0,455.0,3.0,139.0,3.0,104.0,36798.0,15239.0,298.0,854.0,236000.0,12.371587084007746,0
2.0,107,1,17,27,1337.0,538.0,2.0,70.0,6.0,28.0,26573.0,22890.0,375.0,1502.0,145000.0,11.884489021402711,0
1.0,46,3,0,12,1208.0,259.0,3.0,43.0,7.0,100.0,8164.0,27030.0,137.0,582.0,189000.0,12.14950229404178,0
1.0,8,1,2,18,1332.0,455.0,1.0,139.0,3.0,71.0,22721.0,15239.0,298.0,854.0,0.0,-inf,0
1.0,46,3,0,12,1208.0,259.0,2.0,43.0,7.0,70.0,8164.0,27030.0,137.0,582.0,0.0,-inf,0
5.0,116,4,19,33,197.0,99.0,6.0,53.0,3.0,798.0,3410.0,28798.0,148.0,121.0,1800000.0,14.403297222866392,2
2.0,36,3,0,14,1208.0,259.0,3.0,43.0,7.0,115.0,32783.0,27030.0,137.0,582.0,445000.0,13.005829561148376,0
1.0,79,2,11,4,1151.0,454.0,3.0,17.0,4.0,104.0,36069.0,27431.0,494.0,969.0,480000.0,13.081541382884073,0
1.0,25,0,4,46,423.0,173.0,3.0,123.0,1.0,60.0,45104.0,13354.0,90.0,189.0,169000.0,12.037653993905211,0
2.0,90,3,14,8,408.0,164.0,3.0,10.0,4.0,107.0,15093.0,33396.0,169.0,349.0,690000.0,13.44444687657344,0
5.0,23,4,0,13,1208.0,259.0,4.0,43.0,7.0,219.0,10816.0,27030.0,137.0,582.0,330000.0,12.706847933442663,0
7.0,126,4,20,21,532.0,207.0,5.0,26.0,6.0,668.0,7156.0,36592.0,235.0,347.0,4400000.0,15.29711509888849,0
3.0,114,4,18,2,1930.0,905.0,5.0,21.0,9.0,246.0,19853.0,36934.0,1039.0,1910.0,0.0,-inf,0
1.0,56,0,8,20,139.0,54.0,2.0,78.0,1.0,56.0,37808.0,13604.0,45.0,79.0,134900.0,11.812289042195847,0
1.0,96,4,15,5,2470.0,917.0,1.0,11.0,6.0,81.0,16919.0,38751.0,928.0,2315.0,850500.0,13.653579690818052,2
1.0,55,0,8,20,139.0,54.0,3.0,78.0,1.0,71.0,21316.0,13604.0,45.0,79.0,123000.0,11.719939634354555,0
1.0,110,3,18,14,1930.0,905.0,2.0,21.0,9.0,49.0,24190.0,36934.0,1039.0,1910.0,298500.0,12.606525211814795,0
3.0,30,4,0,3,1208.0,259.0,3.0,43.0,7.0,93.0,18219.0,27030.0,137.0,582.0,1079000.0,13.891545244240271,0
2.0,69,2,12,34,1504.0,552.0,1.0,44.0,3.0,88.0,30751.0,19768.0,381.0,828.0,250000.0,12.429216196844385,1
1.0,51,1,7,31,1114.0,486.0,3.0,38.0,2.0,80.0,15435.0,29047.0,596.0,1135.0,259900.0,12.468052220629582,0
2.0,125,2,20,36,532.0,207.0,2.0,26.0,6.0,122.0,30484.0,36592.0,235.0,347.0,0.0,-inf,0
1.0,112,4,18,9,1930.0,905.0,2.0,21.0,9.0,73.0,19418.0,36934.0,1039.0,1910.0,635000.0,13.361380277874828,2
3.0,91,4,15,0,2470.0,917.0,3.0,11.0,6.0,220.0,15444.0,38751.0,928.0,2315.0,3200000.0,14.978661367769954,0
